drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Idelvion,"coagulation factor IX (recombinant), albumin fusion protein",Injection,"Idelvion (coagulation factor IX (recombinant), albumin fusion protein) is a long-acting recombinant human blood coagulation factor indicated for the control and prevention of bleeding episodes in patients with hemophilia B.",2016-03-04,Csl Behring,Hemophilia B,Immunological,Hematological Disorders,,,
Odefsey,"emtricitabine, rilpivirine and tenofovir alafenamide",Tablets,"Odefsey (emtricitabine/rilpivirine/tenofovir alafenamide) is a fixed-dose combination of emtricitabine (FTC) and tenofovir alafenamide (TAF), both HIV nucleoside analog reverse transcriptase inhibitors (NRTIs), and rilpivirine (RPV), a non-nucleoside reverse transcriptase inhibitor (NNRTI), indicated as a complete regimen for the treatment of HIV-1 infection.",2016-03-01,Gilead Sciences,HIV Infection,Antivirals,Infectious Diseases,,,
Xeljanz XR,tofacitinib,Extended-Release Tablets,"Xeljanz XR (tofacitinib) is a Janus kinase (JAK) inhibitor indicated for the treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and ulcerative colitis.",2016-02-23,Pfizer,"Rheumatoid Arthritis, Psoriatic Arthritis, Ulcerative Colitis, Ankylosing Spondylitis",Immunological,Musculoskeletal Disorders,,,
Briviact,brivaracetam,,"Briviact (brivaracetam) is a selective, high-affinity synaptic vesicle protein 2A ligand and analog of levetiracetam indicated for the treatment of partial-onset seizures in patients with epilepsy.",2016-02-19,Ucb,Epilepsy,Neurological,Neurological Disorders,,,
Cetylev,acetylcysteine,Effervescent Tablets for Oral Solution,Marketing Status:Discontinued,2016-01-29,Arbor Pharmaceuticals,Acetaminophen Overdose,Analgesics,Gastrointestinal Diseases,,,
Sernivo,betamethasone dipropionate,Topical Spray,Sernivo Spray (betamethasone dipropionate) is a topical corticosteroid indicated for the treatment of mild to moderate plaque psoriasis.,2016-02-05,Promius,Plaque Psoriasis,Dermatological,Dermatological Conditions,,,
Zembrace SymTouch,sumatriptan,Injection,"Zembrace SymTouch (sumatriptan) is a  selective 5-HT1B/IDreceptor agonist in a prefilled, ready-to-use, single-dose disposable autoinjector for the treatment of acute migraine episodes, with or without aura.",2016-01-28,Dr Reddy’S,Migraine,Neurological,Neurological Disorders,,,
Zepatier,elbasvir and grazoprevir,Tablets,"Zepatier (elbasvir and grazoprevir) is a once-daily, single tablet, NS5A replication complex inhibitor and NS3/4A protease inhibitor combination for the treatment of chronic hepatitis C virus (HCV) genotypes 1 and 4 infections.",2016-01-28,Merck,Hepatitis C,Antivirals,Hepatic Disorders,,,
Onzetra Xsail,sumatriptan,Inhalation Powder,"Onzetra Xsail (sumatriptan) is a fast-acting, intranasal serotonin 5-HT1B/1Dreceptor agonist (triptan) indicated 
for the acute treatment of migraine with or without aura.",2016-01-27,Avanir Pharmaceuticals,Migraine,Neurological,Neurological Disorders,,,
Adzenys XR-ODT,amphetamine,Extended-Release Orally Disintegrating Tablets,Adzenys XR-ODT (amphetamine) is a central nervous system (CNS) stimulant indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years and older.,2016-01-27,Neos Therapeutics,Attention-Deficit Hyperactivity Disorder (ADHD),Neurological,Neurological Disorders,,,
Emverm,mebendazole,Chewable Tablets,"Emverm (mebendazole) is a chewable tablet formulation of the approved anthelmintic mebendazole for the treatment ofEnterobius vermicularis(pinworm),Trichuris trichiura(whipworm),Ascaris lumbricoides(common roundworm),Ancylostoma duodenale(common hookworm),Necator americanus(American hookworm) in single or mixed infections.",2016-01-15,Impax,"Pinworm Infection, Whipworm Infection, Hookworm Infection, Ascariasis",Antiparasitics,Gastrointestinal Diseases,,,
Flublok Quadrivalent,"influenza virus vaccine, inactivated",Injection,FluBlok Quadrivalent is an influenza virus vaccine indicated for active immunization against seasonal influenza in adults 18 years of age and older .,2016-10-07,Protein Sciences,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Flucelvax Quadrivalent,"influenza virus vaccine, inactivated",,Flucelvax Quadrivalent is an inactivated influenza vaccine indicated for active immunization for active immunization against influenza disease in people 2 years of age and older.,2016-05-23,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Docetaxel Non-Alcohol Formula,,Injection,"Docetaxel Injection, Non-Alcohol Formula is an alcohol-free formulation of docetaxel for use in the treatment of patients with breast cancer, non-small cell lung cancer, prostate cancer, gastric adenocarcinoma, and head and neck cancer.",2015-12-22,Eagle Pharmaceuticals,Cancer,Antineoplastics,Cancers,,,
Uptravi,selexipag,Tablets and Lyophilized Powder for Injection,Uptravi (selexipag) is a prostacyclin receptor agonist for the treatment of pulmonary arterial hypertension (PAH).,2015-12-21,Actelion Pharmaceuticals,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases,,,
Zurampic,lesinurad,Tablets,Marketing Status:Discontinued,2015-12-22,Ironwood Pharmaceuticals,Hyperuricemia Associated with Gout,Gastrointestinal,Musculoskeletal Disorders,,,
Basaglar,insulin glargine,Injection,Basaglar (insulin glargine injection) is a long-acting human insulin analog indicated to improve glycemic control in patients with type 1 and  type 2 diabetes mellitus.,2015-12-16,Eli Lilly  And Boehringer Ingelheim,"Diabetes, Type 1, Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Bridion,sugammadex,Injection,Bridion (sugammadex) is a novel selective relaxant binding agent (SRBA) for the reversal of neuromuscular blockade induced by rocuronium or vecuronium.,2015-12-15,Merck,Reversal of Nondepolarizing Muscle Relaxants,Anesthetics,Musculoskeletal Disorders,,,
Alecensa,alectinib,Capsules,Alecensa (alectinib) is an anaplastic lymphoma kinase (ALK) inhibitor for the treatment of ALK-positive non-small cell lung cancer.,2015-12-11,Genentech,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Vistogard,uridine triacetate,Oral Granules,"Vistogard (uridine triacetate) is a pyrimidine analog indicated 
for the emergency treatment of adults and children who receive an overdose of the cancer treatments fluorouracil or capecitabine.",2015-12-11,Wellstat Therapeutics,Fluorouracil Overdose and Capecitabine Overdose,Antineoplastics,Cancers,,,
Otiprio,ciprofloxacin,Otic Suspension,"Otiprio (ciprofloxacin otic suspension) is a single-dose, physician-administered, sustained-exposure otic fluoroquinolone antibacterial for the treatment of pediatric patients with bilateral otitis media with effusion undergoing tympanostomy tube placement surgery, and for the treatment of acute otitis externa due toPseudomonas aeruginosaandStaphylococcus aureus.",2015-12-10,Otonomy,Tympanostomy Tube Placement Surgery, Acute Otitis Externa,Antibiotics,Infectious Diseases,,
Bendeka,bendamustine hydrochloride,Injection,Bendeka (bendamustine hydrochloride) is an alkylating drug indicated for treatment of patients with chronic lymphocytic leukemia (CLL) and patients with indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,2015-12-07,Eagle Pharmaceuticals,"Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma",Antineoplastics,Hematological Disorders,,,
Kanuma,sebelipase alfa,Injection,Kanuma (sebelipase alfa) is an enzyme replacement therapy for the treatment of lysosomal acid lipase deficiency (LAL-D).,2015-12-08,Alexion Pharmaceuticals,Lysosomal Acid Lipase Deficiency,Enzyme Replacement Therapy,Genetic Disorders,,,
Vonvendi,von willebrand factor (recombinant),Injection,Vonvendi (von Willebrand factor (recombinant)) is a recombinant von Willebrand factor for the treatment of von Willebrand disease(VWD).,2015-12-08,Baxalta,von Willebrand Disease,Hematological,Hematological Disorders,,,
QuilliChew ER,methylphenidate hydrochloride,Extended Release Chewable Tablets,QuilliChew ER (methylphenidate hydrochloride) is a central nervous system (CNS) stimulant indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD).,2015-12-07,Pfizer,Attention Deficit Hyperactivity Disorder,Neurological,Neurological Disorders,,,
Empliciti,elotuzumab,Injection,Empliciti (elotuzumab) is a Signaling Lymphocyte Activation Molecule (SLAMF7)-directed immunostimulatory antibody indicated for the combination treatment of patients with multiple myeloma.,2015-11-30,Bristol-Myers Squibb Company And Abbvie,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Fluad,"influenza vaccine, adjuvanted",Injection,"Fluad (influenza vaccine, adjuvanted) is an inactivated influenza virus vaccine indicated for the prevention of seasonal influenza in people 65 years of age and older.",2015-11-24,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Portrazza,necitumumab,Injection,Portrazza (necitumumab) is an epidermal growth factor receptor (EGFR) antagonist indicated in combination with gemcitabine and cisplatin for the treatment of patients with metastatic squamous non-small cell lung cancer.,2015-11-24,Eli Lilly,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Ninlaro,ixazomib,Capsules,Ninlaro (ixazomib) is an oral proteasome inhibitor indicated for use in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy.,2015-11-20,Takeda Pharmaceutical Company,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Narcan,naloxone,Nasal Spray,Narcan Nasal Spray (naloxone) is an intranasal opioid antagonist formulation indicated for the emergency treatment of known or  suspected opioid overdose.,2015-11-18,Emergent Biosolutions,Opioid Overdose,Respiratory,Neurological Disorders,,,
Darzalex,daratumumab,Injection,Darzalex (daratumumab) is a human anti-CD38 monoclonal antibody indicated for the treatment of patients with multiple myeloma.,2015-11-16,Janssen Biotech,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Adynovate,antihemophilic factor (recombinant) pegylated,,Adynovate (antihemophilic factor (recombinant) pegylated) is a human antihemophilic factor indicated for the control and prevention of bleeding episodes in patients with hemophilia A.,2015-11-13,Baxalta,Hemophilia A,Immunological,Hematological Disorders,,,
Tagrisso,osimertinib,Tablets,Tagrisso (osimertinib) is a tyrosine kinase inhibitor used for the treatment of epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC).,2015-11-13,Astrazeneca Pharmaceuticals,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Cotellic,cobimetinib,Tablets,Cotellic (cobimetinib) is an MEK inhibitor for the treatment of melanoma and histiocytic neoplasms.,2015-11-10,Genentech,"Melanoma, Histiocytic Neoplasm",Antineoplastics,Cancers,,,
Genvoya,"cobicistat, elvitegravir, emtricitabine and tenofovir alafenamide",Tablets,"Genvoya (elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide or E/C/F/TAF) is an antiretroviral combination for the treatment of HIV infection.",2015-11-05,Gilead Sciences,HIV Infection,Antivirals,Infectious Diseases,,,
Nucala,mepolizumab,Injection,"Nucala (mepolizumab) is an interleukin-5 antagonist monoclonal antibody (IgG1 kappa) used for the treatment of with severe eosinophilic asthma, chronic rhinosinusitis with nasal polyps (CRSwNP), eosinophilic granulomatosis with polyangiitis (Churg-Strauss syndrome), and hypereosinophilic syndrome (HES).",2015-11-04,Glaxosmithkline,Eosinophilic Asthma, Chronic Rhinosinusitis with Nasal Polyps, Eosinophilic Granulomatosis with Polyangiitis, Hypereosinophilic Syndrome,Immunological,Respiratory Diseases
Seebri Neohaler,glycopyrrolate,Inhalation Powder,Seebri Neohaler (glycopyrrolate) is a long-acting muscarinic antagonist (LAMA) for the long-term maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD).,2015-10-29,Novartis Pharmaceuticals,COPD,Respiratory,Respiratory Diseases,,,
Utibron Neohaler,glycopyrrolate and indacaterol,Inhalation Powder,Utibron Neohaler (glycopyrrolate and indacaterol) is a long-acting muscarinic antagonist (LAMA) and long-acting beta2-adrenergic agonist (LABA) fixed-dose combination for the long-term maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD).,2015-10-29,Novartis Pharmaceuticals,COPD,Respiratory,Respiratory Diseases,,,
Imlygic,talimogene laherparepvec,Injection,Imlygic (talimogene laherparepvec) is a genetically modified oncolytic viral therapy indicated for the local treatment of melanoma lesions in the skin and lymph nodes.,2015-10-27,Amgen,Melanoma,Antineoplastics,Cancers,,,
Belbuca,buprenorphine hydrochloride,Buccal Film,Belbuca (buprenorphine) is a partial opioid agonist analgesic in a buccal film formulation for the management of chronic pain.,2015-10-23,Endo Pharmaceuticals,Chronic Pain,Analgesics,Musculoskeletal Disorders,,,
Vivlodex,meloxicam,Capsules,Vivlodex (meloxicam) is a low dose nonsteroidal anti-inflammatory drug (NSAID) indicated for the management of osteoarthritis pain.,2015-10-22,Iroko Pharmaceuticals,Osteoarthritis,Anti-inflammatories,Musculoskeletal Disorders,,,
Strensiq,asfotase alfa,Injection,"Strensiq (asfotase alfa) is a tissue nonspecific alkaline phosphatase  enzyme replacement therapy indicated for the treatment of patients with perinatal, infantile and juvenile-onset hypophosphatasia (HPP).",2015-10-23,Alexion Pharmaceuticals,Hypophosphatasia,Hormonal,Genetic Disorders,,,
Yondelis,trabectedin,Injection,"Yondelis (trabectedin) is a cytotoxic antitumor agent for the treatment of unresectable or metastatic liposarcoma or leiomyosarcoma, two common subtypes of soft tissue sarcoma.",2015-10-23,Janssen Biotech,Soft Tissue Sarcoma,Antineoplastics,Cancers,,,
Onivyde,irinotecan liposomal,Injection,Onivyde (irinotecan liposome injection) is a liposomal formulation of the topoisomerase I inhibitor irinotecan used in the treatment of pancreatic adenocarcinoma.,2015-10-22,Ipsen Biopharmaceuticals,Pancreatic Cancer,Antineoplastics,Cancers,,,
Veltassa,patiromer,Oral Suspension,Veltassa (patiromer) is an oral potassium binder for the treatment of hyperkalemia.,2015-10-21,Relypsa,Hyperkalemia,Gastrointestinal,Renal Disorders,,,
Coagadex,coagulation factor X (human),Injection,Coagadex (coagulation factor X (human)) is a human factor X concentrate for the treatment of hereditary factor X deficiency.,2015-10-20,Bio Products Laboratory,Hereditary Factor X Deficiency,Immunological,Hematological Disorders,,,
Dyanavel XR,amphetamine,Extended-Release Oral Suspension and Extended-Release Tablets,Dyanavel XR (amphetamine) is an extended-release central nervous system (CNS) stimulant for the treatment of Attention Deficit Hyperactivity Disorder (ADHD).,2015-10-19,Tris,Attention Deficit Hyperactivity Disorder (ADHD),Neurological,Neurological Disorders,,,
Enstilar,betamethasone dipropionate and calcipotriene,Foam,Enstilar (betamethasone dipropionate and calcipotriene) is a topical corticosteroid and vitamin D analogue foam formulation for the treatment of psoriasis vulgaris.,2015-10-16,Leo,Plaque Psoriasis,Dermatological,Dermatological Conditions,,,
Praxbind,idarucizumab,Injection,Praxbind (idarucizumab) is a humanized monoclonal antibody fragment (Fab) indicated in patients treated with Pradaxa® (dabigatran) when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures, and in life-threatening or uncontrolled bleeding.,2015-10-16,Boehringer Ingelheim Pharmaceuticals,Reversal Agent for Pradaxa,Cardiovascular,Cardiovascular Diseases,,
